U+0021	!
U+757f	畿
疂-Kaisho	U+7582	疂
U+7582	疂
疆-Kaisho	U+7586	疆
U+7586	疆
疇-Kaisho	U+7587	疇
U+7587	疇
疉-Kaisho	U+7589	疉
U+7589	疉
疊-Kaisho	U+758a	疊
U+758a	疊
U+758b	疋
疎-Kaisho	U+758e	疎
U+758e	疎
疏-Kaisho	U+758f	疏
U+758f	疏
疑-Kaisho	U+7591	疑
U+7591	疑
疒-Kaisho	U+7592	疒
U+7592	疒
疔-Kaisho	U+7594	疔
U+7594	疔
疚-Kaisho	U+759a	疚
U+759a	疚
疝-Kaisho	U+759d	疝
U+759d	疝
疣-Kaisho	U+75a3	疣
U+75a3	疣
疥-Kaisho	U+75a5	疥
U+75a5	疥
疫-Kaisho	U+75ab	疫
U+75ab	疫
疱-Kaisho	U+75b1	疱
U+75b1	疱
疲-Kaisho	U+75b2	疲
U+75b2	疲
疳-Kaisho	U+75b3	疳
U+75b3	疳
疵-KaishoHzFst	U+75b5	疵
疵-Kaisho	U+75b5	疵
U+75b5	疵
疸-Kaisho	U+75b8	疸
U+75b8	疸
疹-Kaisho	U+75b9	疹
U+75b9	疹
疼-HyougaiKaisho	U+75bc	疼
疼-Hyougai	U+75bc	疼
U+75bc	疼
疽-Kaisho	U+75bd	疽
U+75bd	疽
疾-Kaisho	U+75be	疾
U+75be	疾
痂-Kaisho	U+75c2	痂
U+75c2	痂
痃-Kaisho	U+75c3	痃
U+75c3	痃
病-Kaisho	U+75c5	病
U+75c5	病
症-KaishoHzFst	U+75c7	症
症-Kaisho	U+75c7	症
U+75c7	症
痊-Kaisho	U+75ca	痊
痊-KaishoVtLst	U+75ca	痊
U+75ca	痊
痍-Kaisho	U+75cd	痍
U+75cd	痍
痒-Kaisho	U+75d2	痒
U+75d2	痒
痔-Kaisho	U+75d4	痔
U+75d4	痔
痕-Kaisho	U+75d5	痕
U+75d5	痕
痘-Kaisho	U+75d8	痘
U+75d8	痘
痙-Kaisho	U+75d9	痙
U+75d9	痙
痛-Kaisho	U+75db	痛
U+75db	痛
痞-Kaisho	U+75de	痞
U+75de	痞
痢-Kaisho	U+75e2	痢
U+75e2	痢
痣-Kaisho	U+75e3	痣
U+75e3	痣
痩-Kaisho	U+75e9	痩
U+75e9	痩
痰-Kaisho	U+75f0	痰
U+75f0	痰
痲-Kaisho	U+75f2	痲
U+75f2	痲
痳-Kaisho	U+75f3	痳
U+75f3	痳
痴-Kaisho	U+75f4	痴
U+75f4	痴
痺-Kaisho	U+75fa	痺
U+75fa	痺
痼-Kaisho	U+75fc	痼
U+75fc	痼
痾-Kaisho	U+75fe	痾
U+75fe	痾
痿-Kaisho	U+75ff	痿
U+75ff	痿
瘁-Kaisho	U+7601	瘁
U+7601	瘁
瘉-Kaisho	U+7609	瘉
U+7609	瘉
瘋-Kaisho	U+760b	瘋
U+760b	瘋
瘍-Kaisho	U+760d	瘍
U+760d	瘍
瘟-Kaisho	U+761f	瘟
U+761f	瘟
瘠-Kaisho	U+7620	瘠
U+7620	瘠
瘡-Kaisho	U+7621	瘡
U+7621	瘡
瘢-Kaisho	U+7622	瘢
U+7622	瘢
瘤-Kaisho	U+7624	瘤
U+7624	瘤
瘧-KaishoHzFstLeRi	U+7627	瘧
瘧-KaishoHzFstRiLe	U+7627	瘧
瘧-Kaisho	U+7627	瘧
瘧-KaishoVtFstRiLe	U+7627	瘧
U+7627	瘧
瘰-Kaisho	U+7630	瘰
U+7630	瘰
瘴-Kaisho	U+7634	瘴
U+7634	瘴
瘻-Kaisho	U+763b	瘻
U+763b	瘻
療-Kaisho	U+7642	療
U+7642	療
癆-Kaisho	U+7646	癆
U+7646	癆
癇-Kaisho	U+7647	癇
U+7647	癇
癈-KaishoDg3	U+7648	癈
癈-KaishoDgLst	U+7648	癈
癈-Kaisho	U+7648	癈
U+7648	癈
癌-Kaisho	U+764c	癌
U+764c	癌
癒-Kaisho	U+7652	癒
U+7652	癒
癖-Kaisho	U+7656	癖
U+7656	癖
癘-Kaisho	U+7658	癘
U+7658	癘
癜-Kaisho	U+765c	癜
U+765c	癜
癡-Kaisho	U+7661	癡
U+7661	癡
癢-Kaisho	U+7662	癢
癢-KaishoVtLst	U+7662	癢
U+7662	癢
癧-KaishoHzFst	U+7667	癧
癧-Kaisho	U+7667	癧
U+7667	癧
癨-Kaisho	U+7668	癨
U+7668	癨
癩-Kaisho	U+7669	癩
U+7669	癩
癪-Kaisho	U+766a	癪
癪-KaishoVtLst	U+766a	癪
U+766a	癪
癬-Kaisho	U+766c	癬
U+766c	癬
癰-Kaisho	U+7670	癰
U+7670	癰
癲-Kaisho	U+7672	癲
U+7672	癲
癶-Dg3	U+7676	癶
癶-DgLst	U+7676	癶
U+7676	癶
癸-Dg3	U+7678	癸
癸-DgLst	U+7678	癸
U+7678	癸
発-Dg3	U+767a	発
発-DgLst	U+767a	発
U+767a	発
登-Dg3	U+767b	登
登-DgLst	U+767b	登
U+767b	登
發-Dg3	U+767c	發
發-DgLst	U+767c	發
U+767c	發
白-Kaisho	U+767d	白
U+767d	白
百-Kaisho	U+767e	百
U+767e	百
皀-Kaisho	U+7680	皀
U+7680	皀
皃-Kaisho	U+7683	皃
U+7683	皃
的-Kaisho	U+7684	的
U+7684	的
皆-Kaisho	U+7686	皆
U+7686	皆
皇-Kaisho	U+7687	皇
皇-KaishoVtLst	U+7687	皇
U+7687	皇
皈-Kaisho	U+7688	皈
U+7688	皈
皋-Kaisho	U+768b	皋
U+768b	皋
皎-Kaisho	U+768e	皎
U+768e	皎
皐-Kaisho	U+7690	皐
U+7690	皐
皓-Kaisho	U+7693	皓
U+7693	皓
皖-Kaisho	U+7696	皖
U+7696	皖
皙-Kaisho	U+7699	皙
U+7699	皙
皚-Kaisho	U+769a	皚
U+769a	皚
U+76ae	皮
U+76b0	皰
U+76b4	皴
U+76b7	皷
皸-Kaisho	U+76b8	皸
U+76b8	皸
皹-Kaisho	U+76b9	皹
U+76b9	皹
U+76ba	皺
U+76bf	皿
U+76c2	盂
U+76c3	盃
U+76c6	盆
U+76c8	盈
U+76ca	益
U+76cd	盍
U+76d2	盒
U+76d6	盖
U+76d7	盗
U+76db	盛
U+76dc	盜
U+76de	盞
盟-Kaisho	U+76df	盟
U+76df	盟
U+76e1	盡
盡-VtLst	U+76e1	盡
監-HzFst	U+76e3	監
U+76e3	監
U+76e4	盤
U+76e5	盥
盧-KaishoHzFstLeRi	U+76e7	盧
盧-KaishoHzFstRiLe	U+76e7	盧
盧-Kaisho	U+76e7	盧
盧-KaishoVtFstRiLe	U+76e7	盧
U+76e7	盧
盪-Kaisho	U+76ea	盪
U+76ea	盪
目-Kaisho	U+76ee	目
U+76ee	目
盲-Kaisho	U+76f2	盲
U+76f2	盲
直-Kaisho	U+76f4	直
U+76f4	直
相-Kaisho	U+76f8	相
U+76f8	相
盻-Kaisho	U+76fb	盻
U+76fb	盻
盾-Kaisho	U+76fe	盾
U+76fe	盾
省-Kaisho	U+7701	省
U+7701	省
眄-Kaisho	U+7704	眄
U+7704	眄
眇-Kaisho	U+7707	眇
U+7707	眇
眈-Kaisho	U+7708	眈
U+7708	眈
眉-Kaisho	U+7709	眉
U+7709	眉
看-Kaisho	U+770b	看
U+770b	看
県-Kaisho	U+770c	県
U+770c	県
眛-Kaisho	U+771b	眛
U+771b	眛
眞-Kaisho	U+771e	眞
U+771e	眞
真-Kaisho	U+771f	真
U+771f	真
眠-Kaisho	U+7720	眠
U+7720	眠
眤-Kaisho	U+7724	眤
U+7724	眤
U+7725	眥
U+7726	眦
眩-Kaisho	U+7729	眩
U+7729	眩
眷-Kaisho	U+7737	眷
U+7737	眷
眸-Kaisho	U+7738	眸
U+7738	眸
眺-KaishoMidFst	U+773a	眺
眺-Kaisho	U+773a	眺
U+773a	眺
眼-Kaisho	U+773c	眼
U+773c	眼
着-Kaisho	U+7740	着
着-KaishoVtLst	U+7740	着
U+7740	着
睇-Kaisho	U+7747	睇
U+7747	睇
睚-Kaisho	U+775a	睚
U+775a	睚
睛-Kaisho	U+775b	睛
睛-KaishoVtLst	U+775b	睛
U+775b	睛
睡-Kaisho	U+7761	睡
睡-KaishoVtLst	U+7761	睡
U+7761	睡
督-KaishoHzFst	U+7763	督
督-Kaisho	U+7763	督
U+7763	督
睥-Kaisho	U+7765	睥
U+7765	睥
睦-Kaisho	U+7766	睦
U+7766	睦
睨-KaishoHzFst	U+7768	睨
睨-Kaisho	U+7768	睨
U+7768	睨
睫-Kaisho	U+776b	睫
U+776b	睫
睹-Kaisho	U+7779	睹
U+7779	睹
睾-Kaisho	U+777e	睾
U+777e	睾
睿-Kaisho	U+777f	睿
U+777f	睿
瞋-Kaisho	U+778b	瞋
U+778b	瞋
瞎-Kaisho	U+778e	瞎
U+778e	瞎
瞑-Kaisho	U+7791	瞑
U+7791	瞑
瞞-Kaisho	U+779e	瞞
U+779e	瞞
瞠-Kaisho	U+77a0	瞠
U+77a0	瞠
瞥-HyougaiKaisho	U+77a5	瞥
瞥-Hyougai	U+77a5	瞥
瞥-Kaisho	U+77a5	瞥
U+77a5	瞥
瞬-Kaisho	U+77ac	瞬
U+77ac	瞬
瞭-Kaisho	U+77ad	瞭
U+77ad	瞭
瞰-Kaisho	U+77b0	瞰
瞰-KaishoVt3	U+77b0	瞰
U+77b0	瞰
瞳-Kaisho	U+77b3	瞳
瞳-KaishoVtLst	U+77b3	瞳
U+77b3	瞳
瞶-Kaisho	U+77b6	瞶
U+77b6	瞶
瞹-Kaisho	U+77b9	瞹
U+77b9	瞹
瞻-Kaisho	U+77bb	瞻
U+77bb	瞻
瞼-Kaisho	U+77bc	瞼
U+77bc	瞼
瞽-Kaisho	U+77bd	瞽
U+77bd	瞽
瞿-Kaisho	U+77bf	瞿
U+77bf	瞿
矇-Kaisho	U+77c7	矇
U+77c7	矇
矍-Kaisho	U+77cd	矍
U+77cd	矍
矗-Kaisho	U+77d7	矗
U+77d7	矗
矚-Kaisho	U+77da	矚
U+77da	矚
U+77db	矛
U+77dc	矜
U+77e2	矢
U+77e3	矣
U+77e5	知
U+77e7	矧
矩-HzFst	U+77e9	矩
U+77e9	矩
U+77ed	短
U+77ee	矮
U+77ef	矯
U+77f3	石
U+77fc	矼
U+7802	砂
U+780c	砌
砒-Kaisho	U+7812	砒
U+7812	砒
U+7814	研
U+7815	砕
砠-Kaisho	U+7820	砠
U+7820	砠
U+7825	砥
砦-HzFst	U+7826	砦
U+7826	砦
砧-HzFst	U+7827	砧
U+7827	砧
U+7832	砲
U+7834	破
U+783a	砺
砿-Kaisho	U+783f	砿
U+783f	砿
U+7845	硅
硝-Kaisho	U+785d	硝
U+785d	硝
硫-Kaisho	U+786b	硫
U+786b	硫
硬-Kaisho	U+786c	硬
U+786c	硬
硯-Kaisho	U+786f	硯
U+786f	硯
U+7872	硲
U+7874	硴
硼-Kaisho	U+787c	硼
U+787c	硼
碁-Kaisho	U+7881	碁
U+7881	碁
U+7886	碆
碇-Kaisho	U+7887	碇
U+7887	碇
U+788c	碌
碍-Kaisho	U+788d	碍
U+788d	碍
碎-Kaisho	U+788e	碎
U+788e	碎
碑-Kaisho	U+7891	碑
U+7891	碑
U+7893	碓
U+7895	碕
碗-Kaisho	U+7897	碗
U+7897	碗
碚-Kaisho	U+789a	碚
U+789a	碚
碣-Kaisho	U+78a3	碣
U+78a3	碣
碧-Kaisho	U+78a7	碧
碧-KaishoVtLst	U+78a7	碧
U+78a7	碧
碩-Kaisho	U+78a9	碩
U+78a9	碩
碪-Kaisho	U+78aa	碪
U+78aa	碪
U+78af	碯
碵-KaishoHzFst	U+78b5	碵
碵-Kaisho	U+78b5	碵
U+78b5	碵
U+78ba	確
U+78bc	碼
碼-Vt6	U+78bc	碼
U+78be	碾
U+78c1	磁
磅-Kaisho	U+78c5	磅
U+78c5	磅
磆-KaishoHzFst	U+78c6	磆
磆-Kaisho	U+78c6	磆
U+78c6	磆
U+78ca	磊
U+78cb	磋
磋-VtLst	U+78cb	磋
U+78d0	磐
U+78d1	磑
磔-Hyougai	U+78d4	磔
磔-Kaisho	U+78d4	磔
U+78d4	磔
U+78da	磚
磧-Kaisho	U+78e7	磧
磧-KaishoVtLst	U+78e7	磧
U+78e7	磧
磨-Kaisho	U+78e8	磨
U+78e8	磨
U+78ec	磬
U+78ef	磯
磴-Dg3	U+78f4	磴
磴-DgLst	U+78f4	磴
U+78f4	磴
U+78fd	磽
U+7901	礁
U+7907	礇
U+790e	礎
礑-Kaisho	U+7911	礑
U+7911	礑
U+7912	礒
礙-Kaisho	U+7919	礙
U+7919	礙
礦-Kaisho	U+7926	礦
礦-KaishoVtLst	U+7926	礦
U+7926	礦
礪-Kaisho	U+792a	礪
U+792a	礪
礫-Kaisho	U+792b	礫
U+792b	礫
礬-Kaisho	U+792c	礬
U+792c	礬
U+793a	示
U+793b	礻
U+793c	礼
U+793e	社
U+7940	祀
祁-Hyougai	U+7941	祁
U+7941	祁
祇-Hyougai	U+7947	祇
U+7947	祇
U+7948	祈
祉-HzFst	U+7949	祉
U+7949	祉
U+7950	祐
U+7953	祓
U+7955	祕
祕-Ten3	U+7955	祕
祖-Kaisho	U+7956	祖
U+7956	祖
U+7957	祗
U+795a	祚
U+795d	祝
神-Kaisho	U+795e	神
U+795e	神
祟-Hyougai	U+795f	祟
U+795f	祟
U+7960	祠
U+7962	祢
U+7965	祥
U+7968	票
U+796d	祭
U+7977	祷
祺-Kaisho	U+797a	祺
U+797a	祺
U+797f	祿
禀-Kaisho	U+7980	禀
U+7980	禀
禁-Kaisho	U+7981	禁
U+7981	禁
禄-Kaisho	U+7984	禄
U+7984	禄
禅-Kaisho	U+7985	禅
U+7985	禅
U+798a	禊
禍-HzFst	U+798d	禍
U+798d	禍
禎-KaishoHzFst	U+798e	禎
禎-Kaisho	U+798e	禎
U+798e	禎
福-Kaisho	U+798f	福
U+798f	福
禝-Kaisho	U+799d	禝
U+799d	禝
U+79a6	禦
U+79a7	禧
禪-Kaisho	U+79aa	禪
U+79aa	禪
禮-Kaisho	U+79ae	禮
禮-KaishoVtLst	U+79ae	禮
U+79ae	禮
禰-Hyougai	U+79b0	禰
U+79b0	禰
禳-Kaisho	U+79b3	禳
U+79b3	禳
U+79b8	禸
U+79b9	禹
禺-Kaisho	U+79ba	禺
U+79ba	禺
U+79bb	离
U+79bd	禽
禾-Kaisho	U+79be	禾
U+79be	禾
U+79bf	禿
秀-Kaisho	U+79c0	秀
U+79c0	秀
私-Kaisho	U+79c1	私
U+79c1	私
秉-Kaisho	U+79c9	秉
U+79c9	秉
秋-Kaisho	U+79cb	秋
U+79cb	秋
科-Kaisho	U+79d1	科
U+79d1	科
秒-Kaisho	U+79d2	秒
U+79d2	秒
秕-Kaisho	U+79d5	秕
U+79d5	秕
秘-Kaisho	U+79d8	秘
秘-KaishoTen3	U+79d8	秘
U+79d8	秘
租-Kaisho	U+79df	租
U+79df	租
秡-Kaisho	U+79e1	秡
U+79e1	秡
秣-Kaisho	U+79e3	秣
U+79e3	秣
秤-HyougaiKaisho	U+79e4	秤
秤-Hyougai	U+79e4	秤
U+79e4	秤
秦-Kaisho	U+79e6	秦
U+79e6	秦
秧-Kaisho	U+79e7	秧
U+79e7	秧
秩-Kaisho	U+79e9	秩
U+79e9	秩
秬-KaishoHzFst	U+79ec	秬
秬-Kaisho	U+79ec	秬
U+79ec	秬
称-Kaisho	U+79f0	称
U+79f0	称
移-Kaisho	U+79fb	移
U+79fb	移
稀-Kaisho	U+7a00	稀
U+7a00	稀
稈-Kaisho	U+7a08	稈
U+7a08	稈
程-Kaisho	U+7a0b	程
程-KaishoVtLst	U+7a0b	程
U+7a0b	程
稍-Kaisho	U+7a0d	稍
U+7a0d	稍
税-Kaisho	U+7a0e	税
U+7a0e	税
稔-Kaisho	U+7a14	稔
U+7a14	稔
稗-HyougaiKaisho	U+7a17	稗
稗-Hyougai	U+7a17	稗
U+7a17	稗
稘-Kaisho	U+7a18	稘
U+7a18	稘
稙-Kaisho	U+7a19	稙
U+7a19	稙
稚-Kaisho	U+7a1a	稚
U+7a1a	稚
稜-Kaisho	U+7a1c	稜
U+7a1c	稜
稟-Kaisho	U+7a1f	稟
U+7a1f	稟
稠-Kaisho	U+7a20	稠
U+7a20	稠
種-Kaisho	U+7a2e	種
種-KaishoVtLst	U+7a2e	種
U+7a2e	種
稱-Kaisho	U+7a31	稱
U+7a31	稱
稲-Kaisho	U+7a32	稲
U+7a32	稲
稷-Kaisho	U+7a37	稷
U+7a37	稷
稻-KaishoHzFst	U+7a3b	稻
稻-Kaisho	U+7a3b	稻
U+7a3b	稻
稼-Kaisho	U+7a3c	稼
U+7a3c	稼
稽-Kaisho	U+7a3d	稽
U+7a3d	稽
稾-Kaisho	U+7a3e	稾
U+7a3e	稾
稿-Kaisho	U+7a3f	稿
U+7a3f	稿
穀-Kaisho	U+7a40	穀
U+7a40	穀
穂-Kaisho	U+7a42	穂
穂-KaishoVt4	U+7a42	穂
穂-KaishoVtLst	U+7a42	穂
U+7a42	穂
穃-Kaisho	U+7a43	穃
U+7a43	穃
穆-Kaisho	U+7a46	穆
U+7a46	穆
穉-Kaisho	U+7a49	穉
U+7a49	穉
積-Kaisho	U+7a4d	積
積-KaishoVtLst	U+7a4d	積
U+7a4d	積
穎-Kaisho	U+7a4e	穎
U+7a4e	穎
穏-Kaisho	U+7a4f	穏
U+7a4f	穏
穐-Kaisho	U+7a50	穐
U+7a50	穐
穗-Kaisho	U+7a57	穗
U+7a57	穗
穡-Kaisho	U+7a61	穡
U+7a61	穡
穢-KaishoHzFst	U+7a62	穢
穢-KaishoHzFstTenFst	U+7a62	穢
穢-Kaisho	U+7a62	穢
U+7a62	穢
穣-Kaisho	U+7a63	穣
U+7a63	穣
穩-Kaisho	U+7a69	穩
U+7a69	穩
穫-Kaisho	U+7a6b	穫
U+7a6b	穫
穰-Kaisho	U+7a70	穰
U+7a70	穰
穴-Kaisho	U+7a74	穴
U+7a74	穴
究-Kaisho	U+7a76	究
U+7a76	究
穹-Kaisho	U+7a79	穹
U+7a79	穹
空-Kaisho	U+7a7a	空
U+7a7a	空
穽-Kaisho	U+7a7d	穽
U+7a7d	穽
穿-HyougaiKaisho	U+7a7f	穿
穿-Hyougai	U+7a7f	穿
穿-Kaisho	U+7a7f	穿
U+7a7f	穿
突-Kaisho	U+7a81	突
U+7a81	突
窃-Kaisho	U+7a83	窃
U+7a83	窃
窄-Kaisho	U+7a84	窄
U+7a84	窄
窈-Kaisho	U+7a88	窈
U+7a88	窈
窒-Kaisho	U+7a92	窒
窒-KaishoVtFst	U+7a92	窒
U+7a92	窒
窓-Kaisho	U+7a93	窓
U+7a93	窓
窕-KaishoMidFst	U+7a95	窕
窕-Kaisho	U+7a95	窕
U+7a95	窕
窖-Kaisho	U+7a96	窖
U+7a96	窖
窗-Kaisho	U+7a97	窗
U+7a97	窗
窘-Kaisho	U+7a98	窘
U+7a98	窘
窟-Kaisho	U+7a9f	窟
U+7a9f	窟
窩-KaishoHzFst	U+7aa9	窩
窩-Kaisho	U+7aa9	窩
U+7aa9	窩
窪-Kaisho	U+7aaa	窪
U+7aaa	窪
窮-Kaisho	U+7aae	窮
U+7aae	窮
窯-Kaisho	U+7aaf	窯
窯-KaishoVtLst	U+7aaf	窯
U+7aaf	窯
窰-Kaisho	U+7ab0	窰
U+7ab0	窰
窶-Kaisho	U+7ab6	窶
U+7ab6	窶
窺-Kaisho	U+7aba	窺
U+7aba	窺
窿-Kaisho	U+7abf	窿
窿-KaishoVtLst	U+7abf	窿
U+7abf	窿
竃-Kaisho	U+7ac3	竃
U+7ac3	竃
竄-KaishoHzFst	U+7ac4	竄
竄-Kaisho	U+7ac4	竄
U+7ac4	竄
竅-Kaisho	U+7ac5	竅
U+7ac5	竅
竇-Kaisho	U+7ac7	竇
U+7ac7	竇
竈-HyougaiKaisho	U+7ac8	竈
竈-Hyougai	U+7ac8	竈
U+7ac8	竈
竊-KaishoHzFst	U+7aca	竊
竊-Kaisho	U+7aca	竊
U+7aca	竊
立-Kaisho	U+7acb	立
U+7acb	立
竍-Kaisho	U+7acd	竍
U+7acd	竍
竏-Kaisho	U+7acf	竏
U+7acf	竏
竒-Kaisho	U+7ad2	竒
U+7ad2	竒
竓-Kaisho	U+7ad3	竓
U+7ad3	竓
竕-Kaisho	U+7ad5	竕
U+7ad5	竕
站-KaishoHzFst	U+7ad9	站
站-Kaisho	U+7ad9	站
U+7ad9	站
竚-Kaisho	U+7ada	竚
U+7ada	竚
竜-Kaisho	U+7adc	竜
U+7adc	竜
竝-Kaisho	U+7add	竝
U+7add	竝
竟-Kaisho	U+7adf	竟
U+7adf	竟
章-Kaisho	U+7ae0	章
U+7ae0	章
竡-Kaisho	U+7ae1	竡
U+7ae1	竡
竢-Kaisho	U+7ae2	竢
U+7ae2	竢
竣-Kaisho	U+7ae3	竣
U+7ae3	竣
童-Kaisho	U+7ae5	童
童-KaishoVtLst	U+7ae5	童
U+7ae5	童
竦-Kaisho	U+7ae6	竦
U+7ae6	竦
竪-KaishoHzFst	U+7aea	竪
竪-Kaisho	U+7aea	竪
U+7aea	竪
竭-Kaisho	U+7aed	竭
U+7aed	竭
端-Kaisho	U+7aef	端
U+7aef	端
竰-Kaisho	U+7af0	竰
竰-KaishoVtLst	U+7af0	竰
U+7af0	竰
競-Kaisho	U+7af6	競
U+7af6	競
竸-Kaisho	U+7af8	竸
U+7af8	竸
U+7af9	竹
U+7afa	竺
U+7aff	竿
U+7b02	笂
U+7b04	笄
U+7b06	笆
笈-Hyougai	U+7b08	笈
U+7b08	笈
U+7b0a	笊
U+7b0b	笋
U+7b0f	笏
U+7b11	笑
笘-HzFst	U+7b18	笘
U+7b18	笘
U+7b19	笙
笙-VtLst	U+7b19	笙
笛-Kaisho	U+7b1b	笛
笛-KaishoVtLst	U+7b1b	笛
U+7b1b	笛
U+7b1e	笞
笠-Kaisho	U+7b20	笠
U+7b20	笠
U+7b25	笥
U+7b26	符
U+7b28	笨
第-Kaisho	U+7b2c	第
U+7b2c	第
U+7b33	笳
U+7b35	笵
U+7b36	笶
U+7b39	笹
U+7b45	筅
U+7b46	筆
U+7b48	筈
U+7b49	等
筋-Kaisho	U+7b4b	筋
U+7b4b	筋
U+7b4c	筌
筌-VtLst	U+7b4c	筌
筍-Kaisho	U+7b4d	筍
U+7b4d	筍
U+7b4f	筏
U+7b50	筐
筐-VtLst	U+7b50	筐
U+7b51	筑
U+7b52	筒
U+7b54	答
策-Kaisho	U+7b56	策
U+7b56	策
U+7b5d	筝
U+7b65	筥
筧-Kaisho	U+7b67	筧
U+7b67	筧
U+7b6c	筬
U+7b6e	筮
U+7b70	筰
U+7b71	筱
U+7b74	筴
筵-HyougaiHzFst	U+7b75	筵
筵-Hyougai	U+7b75	筵
U+7b75	筵
U+7b7a	筺
筺-VtLst	U+7b7a	筺
箆-Kaisho	U+7b86	箆
U+7b86	箆
U+7b87	箇
U+7b8b	箋
U+7b8d	箍
U+7b8f	箏
U+7b92	箒
箔-Kaisho	U+7b94	箔
U+7b94	箔
箕-Kaisho	U+7b95	箕
U+7b95	箕
算-Kaisho	U+7b97	算
U+7b97	算
箘-Kaisho	U+7b98	箘
U+7b98	箘
箙-Kaisho	U+7b99	箙
箙-KaishoVtFst	U+7b99	箙
U+7b99	箙
U+7b9a	箚
箜-Kaisho	U+7b9c	箜
U+7b9c	箜
箝-Kaisho	U+7b9d	箝
U+7b9d	箝
箟-Kaisho	U+7b9f	箟
U+7b9f	箟
管-Kaisho	U+7ba1	管
U+7ba1	管
箪-Kaisho	U+7baa	箪
U+7baa	箪
箭-HyougaiKaisho	U+7bad	箭
箭-Hyougai	U+7bad	箭
U+7bad	箭
箱-Kaisho	U+7bb1	箱
U+7bb1	箱
U+7bb4	箴
箸-HyougaiKaisho	U+7bb8	箸
箸-Hyougai	U+7bb8	箸
箸-Kaisho	U+7bb8	箸
U+7bb8	箸
節-Kaisho	U+7bc0	節
U+7bc0	節
篁-Kaisho	U+7bc1	篁
篁-KaishoVtLst	U+7bc1	篁
U+7bc1	篁
範-Kaisho	U+7bc4	範
U+7bc4	範
U+7bc6	篆
篇-HyougaiKaisho	U+7bc7	篇
篇-Hyougai	U+7bc7	篇
篇-JinmeiKaisho	U+7bc7	篇
篇-Jinmei	U+7bc7	篇
U+7bc7	篇
築-Kaisho	U+7bc9	築
U+7bc9	築
U+7bcb	篋
U+7bcc	篌
篏-Kaisho	U+7bcf	篏
U+7bcf	篏
篝-HyougaiKaisho	U+7bdd	篝
篝-Hyougai	U+7bdd	篝
U+7bdd	篝
篠-Kaisho	U+7be0	篠
U+7be0	篠
U+7be4	篤
篤-Vt6	U+7be4	篤
篥-Kaisho	U+7be5	篥
U+7be5	篥
篦-Kaisho	U+7be6	篦
U+7be6	篦
U+7be9	篩
篭-Kaisho	U+7bed	篭
U+7bed	篭
篳-Kaisho	U+7bf3	篳
U+7bf3	篳
篶-HzFst	U+7bf6	篶
U+7bf6	篶
U+7bf7	篷
簀-Kaisho	U+7c00	簀
簀-KaishoVtLst	U+7c00	簀
U+7c00	簀
簇-Kaisho	U+7c07	簇
U+7c07	簇
U+7c0d	簍
簑-Kaisho	U+7c11	簑
U+7c11	簑
簒-Kaisho	U+7c12	簒
U+7c12	簒
U+7c13	簓
簔-Kaisho	U+7c14	簔
U+7c14	簔
簗-Kaisho	U+7c17	簗
U+7c17	簗
簟-Kaisho	U+7c1f	簟
U+7c1f	簟
簡-Kaisho	U+7c21	簡
U+7c21	簡
簣-Kaisho	U+7c23	簣
U+7c23	簣
U+7c27	簧
簧-VtLst	U+7c27	簧
簪-Hyougai	U+7c2a	簪
U+7c2a	簪
簫-Kaisho	U+7c2b	簫
簫-KaishoVt6	U+7c2b	簫
U+7c2b	簫
U+7c37	簷
簸-Kaisho	U+7c38	簸
U+7c38	簸
U+7c3d	簽
簾-HyougaiKaisho	U+7c3e	簾
簾-Hyougai	U+7c3e	簾
簾-Kaisho	U+7c3e	簾
U+7c3e	簾
簿-Kaisho	U+7c3f	簿
U+7c3f	簿
籀-Kaisho	U+7c40	籀
U+7c40	籀
籃-HzFst	U+7c43	籃
U+7c43	籃
U+7c4c	籌
籍-Kaisho	U+7c4d	籍
U+7c4d	籍
籏-Kaisho	U+7c4f	籏
U+7c4f	籏
籐-Kaisho	U+7c50	籐
U+7c50	籐
U+7c54	籔
U+7c56	籖
籘-Kaisho	U+7c58	籘
U+7c58	籘
籟-Kaisho	U+7c5f	籟
U+7c5f	籟
籠-Kaisho	U+7c60	籠
U+7c60	籠
U+7c64	籤
籥-Kaisho	U+7c65	籥
U+7c65	籥
籬-Kaisho	U+7c6c	籬
U+7c6c	籬
米-Kaisho	U+7c73	米
U+7c73	米
籵-Kaisho	U+7c75	籵
U+7c75	籵
籾-HyougaiKaisho	U+7c7e	籾
籾-Hyougai	U+7c7e	籾
籾-Kaisho	U+7c7e	籾
U+7c7e	籾
粁-Kaisho	U+7c81	粁
U+7c81	粁
粂-HyougaiKaisho	U+7c82	粂
粂-Hyougai	U+7c82	粂
U+7c82	粂
粃-Kaisho	U+7c83	粃
U+7c83	粃
粉-Kaisho	U+7c89	粉
U+7c89	粉
粋-Kaisho	U+7c8b	粋
U+7c8b	粋
粍-Kaisho	U+7c8d	粍
U+7c8d	粍
粐-Kaisho	U+7c90	粐
U+7c90	粐
粒-Kaisho	U+7c92	粒
U+7c92	粒
粕-Kaisho	U+7c95	粕
U+7c95	粕
粗-Kaisho	U+7c97	粗
U+7c97	粗
粘-KaishoHzFst	U+7c98	粘
粘-Kaisho	U+7c98	粘
U+7c98	粘
U+7c9b	粛
粟-Kaisho	U+7c9f	粟
U+7c9f	粟
粡-Kaisho	U+7ca1	粡
